date,area,average_price,code,houses_sold,no_of_crimes
1/1/1995,city of london,91449,E09000001,17,
2/1/1995,city of london,82203,E09000001,7,
3/1/1995,city of london,79121,E09000001,14,
4/1/1995,city of london,77101,E09000001,7,
5/1/1995,city of london,84409,E09000001,10,
6/1/1995,city of london,94901,E09000001,17,
7/1/1995,city of london,110128,E09000001,13,
8/1/1995,city of london,112329,E09000001,14,
9/1/1995,city of london,104473,E09000001,17,
10/1/1995,city of london,108038,E09000001,14,
11/1/1995,city of london,117636,E09000001,11,
12/1/1995,city of london,127232,E09000001,18,
1/1/1996,city of london,108999,E09000001,17,
2/1/1996,city of london,93357,E09000001,10,
3/1/1996,city of london,93707,E09000001,17,
4/1/1996,city of london,120543,E09000001,14,
5/1/1996,city of london,112050,E09000001,19,
6/1/1996,city of london,114226,E09000001,28,
7/1/1996,city of london,97547,E09000001,30,
8/1/1996,city of london,114179,E09000001,25,
9/1/1996,city of london,108138,E09000001,32,
10/1/1996,city of london,98934,E09000001,33,
11/1/1996,city of london,99707,E09000001,31,
12/1/1996,city of london,106427,E09000001,26,
1/1/1997,city of london,116343,E09000001,22,
2/1/1997,city of london,111142,E09000001,37,
3/1/1997,city of london,107488,E09000001,70,
4/1/1997,city of london,108480,E09000001,19,
5/1/1997,city of london,115453,E09000001,12,
6/1/1997,city of london,118317,E09000001,21,
7/1/1997,city of london,117034,E09000001,26,
8/1/1997,city of london,113585,E09000001,9,
9/1/1997,city of london,115159,E09000001,22,
10/1/1997,city of london,121251,E09000001,22,
11/1/1997,city of london,131074,E09000001,18,
12/1/1997,city of london,130035,E09000001,37,
1/1/1998,city of london,124382,E09000001,48,
2/1/1998,city of london,143829,E09000001,43,
3/1/1998,city of london,156508,E09000001,39,
4/1/1998,city of london,163403,E09000001,28,
5/1/1998,city of london,143625,E09000001,30,
6/1/1998,city of london,132251,E09000001,32,
7/1/1998,city of london,140377,E09000001,17,
8/1/1998,city of london,148993,E09000001,34,
9/1/1998,city of london,152807,E09000001,40,
10/1/1998,city of london,162020,E09000001,42,
11/1/1998,city of london,152387,E09000001,23,
12/1/1998,city of london,155801,E09000001,48,
1/1/1999,city of london,149143,E09000001,41,
2/1/1999,city of london,164545,E09000001,31,
3/1/1999,city of london,174586,E09000001,53,
4/1/1999,city of london,191157,E09000001,28,
5/1/1999,city of london,191081,E09000001,35,
6/1/1999,city of london,185993,E09000001,63,
7/1/1999,city of london,164056,E09000001,42,
8/1/1999,city of london,160905,E09000001,58,
9/1/1999,city of london,166193,E09000001,30,
10/1/1999,city of london,163490,E09000001,29,
11/1/1999,city of london,175143,E09000001,29,
12/1/1999,city of london,169309,E09000001,97,
1/1/2000,city of london,173738,E09000001,24,
2/1/2000,city of london,174152,E09000001,55,
3/1/2000,city of london,178339,E09000001,48,
4/1/2000,city of london,183101,E09000001,58,
5/1/2000,city of london,175041,E09000001,38,
6/1/2000,city of london,198191,E09000001,60,
7/1/2000,city of london,214852,E09000001,33,
8/1/2000,city of london,221952,E09000001,22,
9/1/2000,city of london,223175,E09000001,20,
10/1/2000,city of london,245062,E09000001,19,
11/1/2000,city of london,321773,E09000001,18,
12/1/2000,city of london,314772,E09000001,33,
1/1/2001,city of london,284262,E09000001,24,0
2/1/2001,city of london,198137,E09000001,37,0
3/1/2001,city of london,189033,E09000001,44,0
4/1/2001,city of london,205494,E09000001,38,0
5/1/2001,city of london,223459,E09000001,30,0
6/1/2001,city of london,242435,E09000001,36,0
7/1/2001,city of london,230700,E09000001,40,0
8/1/2001,city of london,231632,E09000001,30,0
9/1/2001,city of london,229806,E09000001,30,0
